"activity" "subject" "measurement" "statistic" "dimension" "value"
"1" "walking" "test" "tBodyAcc" "mean" "X" 0.276526397258064
"2" "walking_upstairs" "test" "tBodyAcc" "mean" "X" 0.263126445989384
"3" "walking_downstairs" "test" "tBodyAcc" "mean" "X" 0.288062900461905
"4" "sitting" "test" "tBodyAcc" "mean" "X" 0.272039760352342
"5" "standing" "test" "tBodyAcc" "mean" "X" 0.278791235789474
"6" "laying" "test" "tBodyAcc" "mean" "X" 0.267227589560521
"7" "walking" "train" "tBodyAcc" "mean" "X" 0.276260200872757
"8" "walking_upstairs" "train" "tBodyAcc" "mean" "X" 0.261929527252004
"9" "walking_downstairs" "train" "tBodyAcc" "mean" "X" 0.288168888475659
"10" "sitting" "train" "tBodyAcc" "mean" "X" 0.273448998825428
"11" "standing" "train" "tBodyAcc" "mean" "X" 0.279293757074236
"12" "laying" "train" "tBodyAcc" "mean" "X" 0.26919100708877
"13" "walking" "test" "tBodyAcc" "mean" "Y" -0.018250712002498
"14" "walking_upstairs" "test" "tBodyAcc" "mean" "Y" -0.0242744604190291
"15" "walking_downstairs" "test" "tBodyAcc" "mean" "Y" -0.0161751510247702
"16" "sitting" "test" "tBodyAcc" "mean" "Y" -0.0141221515132994
"17" "standing" "test" "tBodyAcc" "mean" "Y" -0.0162262731035301
"18" "laying" "test" "tBodyAcc" "mean" "Y" -0.0182456228329236
"19" "walking" "train" "tBodyAcc" "mean" "Y" -0.0177677108511182
"20" "walking_upstairs" "train" "tBodyAcc" "mean" "Y" -0.0266470525735974
"21" "walking_downstairs" "train" "tBodyAcc" "mean" "Y" -0.0163701864217556
"22" "sitting" "train" "tBodyAcc" "mean" "Y" -0.0121426088459798
"23" "standing" "train" "tBodyAcc" "mean" "Y" -0.0161230846636681
"24" "laying" "train" "tBodyAcc" "mean" "Y" -0.0183452479771855
"25" "walking" "test" "tBodyAcc" "mean" "Z" -0.108875750766129
"26" "walking_upstairs" "test" "tBodyAcc" "mean" "Z" -0.120798485155414
"27" "walking_downstairs" "test" "tBodyAcc" "mean" "Z" -0.105529914174286
"28" "sitting" "test" "tBodyAcc" "mean" "Z" -0.102730909698778
"29" "standing" "test" "tBodyAcc" "mean" "Z" -0.10466868287406
"30" "laying" "test" "tBodyAcc" "mean" "Z" -0.108134996675233
"31" "walking" "train" "tBodyAcc" "mean" "Z" -0.108884089505465
"32" "walking_upstairs" "train" "tBodyAcc" "mean" "Z" -0.120423564420037
"33" "walking_downstairs" "train" "tBodyAcc" "mean" "Z" -0.105860325152107
"34" "sitting" "train" "tBodyAcc" "mean" "Z" -0.106580744993313
"35" "standing" "train" "tBodyAcc" "mean" "Z" -0.10732962785709
"36" "laying" "train" "tBodyAcc" "mean" "Z" -0.107168709636461
"37" "walking" "test" "tGravityAcc" "mean" "X" 0.939130584415323
"38" "walking_upstairs" "test" "tGravityAcc" "mean" "X" 0.880983929469214
"39" "walking_downstairs" "test" "tGravityAcc" "mean" "X" 0.931437114714286
"40" "sitting" "test" "tGravityAcc" "mean" "X" 0.9028616299389
"41" "standing" "test" "tGravityAcc" "mean" "X" 0.943091097537594
"42" "laying" "test" "tGravityAcc" "mean" "X" -0.385937754614525
